,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes
341,XclusiveTrading,"Weekly #XclusiveTriggers 7/19-7/23 Results💯

 🥇 $MRNA 567%
🥈 $AMZN 273%
🥉 $SNOW 241%

$AAPL
$NVDA 
$TSLA https://t.co/5kWnhcF6hw",2021-07-23 20:44:22+00:00,27187,5,13,271
342,RamBhupatiraju,"My history with #FAANMGN and the investing lessons they taught me.

$FB $AAPL $AMZN $NFLX $MSFT $GOOG $NVDA

Sharing with some FinTwit friends @TMFJMo @BrianFeroldi @saxena_puru @FromValue @dhaval_kotecha @richard_chu97 @7Innovator @LiviamCapital @investing_city @BahamaBen9 https://t.co/dntjAzFOcW",2021-07-23 17:54:26+00:00,40007,28,93,627
343,MarketRebels,$FB will be launching cloud gaming service on $AAPL devices today,2021-07-23 15:15:24+00:00,128566,6,39,210
344,Dividend_Dollar,"Dividends are a great way to build wealth. They come in all different shapes and sizes

They can offer growth or income, dividend growth, or all of the above

$O
$AVGO
$ABBV
$HD
$MO
$V
$MCD
$AAPL
$MSFT
$JNJ

10 GREAT dividend paying stocks",2021-07-23 13:41:00+00:00,29216,16,32,215
345,rachels_44,"Some company Earnings for next week 📈📊

$TSLA - 7/26
$GOOGL - 7/27
$AAPL - 7/27
$MSFT - 7/27
$SBUX - 7/27
$AMD - 7/27
$TDOC - 7/27
$FB - 7/28
$PYPL - 7/28
$QCOM - 7/28
$SHOP 7/28
$NOW - 7/28
$LRCX - 7/28
$SPOT - 7/28
$AMZN 7/29
$MA - 7/29
$OSTK - 7/29
$CAT - 7/30",2021-07-23 01:46:15+00:00,38013,23,123,432
346,Saeed_AJ,"أكبر ٣ أسهم وزنًا في محافظ بعض أشهر المستثمرين (الأكبر وزنًا من اليمين):

وارين بافيت: $AAPL $BAC $AXP

بل أكمان: $LOW $HLT $QSR

تشارلي مونجر: $BAC $WFC $BABA

كارل آيكان: $IEP $OXY $CVI https://t.co/OeKc1dbwgr",2021-07-22 11:33:00+00:00,66458,5,27,277
347,TD_Investor,"Some of the best Dividend/Dividend Growth stock that money can buy!

$PEP
$O
$HD
$KO
$MSFT
$MMM
$AAPL
$JPM
$PG
$JNJ
$CAT
$MCD
$FDX
$COST
$V
$VZ
$SBUX
$MA
$NKE
$XOM
$MO
$WMT
$BAC
$INTC
$ABBV

Add them to your watchlist, research them and build true passive income.
Bookmark this!",2021-07-22 10:15:59+00:00,23286,28,112,671
348,MarketRebels,"Most Mentioned Tickers on WSB

1. $CLOV
2. $SOFI
3. $AAPL
4. $MRNA
5. $TSLA
6. $AMC
7. $CLF
8. $WISH
9. $NIO
10. $NVDA",2021-07-22 04:46:18+00:00,128566,8,44,206
349,tradingchik,"Takeaways from today:

1. Trading after 11 is boring
2. Stop trading after making profits
3. Don’t chase $NVDA at the highs
4. Wait until right before the close to buy swings
5. Follow your damn rules
6. $AAPL is the most boring stock
7. Most of my losers are afternoon trades",2021-07-21 22:47:18+00:00,11746,26,22,376
350,alsabban1982,"بالسوق الامريكي هذه ال١١ هي الدائرة الاولى عندي وهي ليست للبيع مهما ارتفعت
$MSFT $GOOGL $AAPL $FB $AMZN $TSLA $TSM $ARKG $ARKW $TAN $ICLN

بالسعودي
ارامكو الاهلي الاسمنتات الريتات",2021-07-21 22:45:29+00:00,133546,4,15,287
351,BusinessFamous,"Buying a new $800 iPhone every year

But not investing $AAPL?

🤡🤡🤡",2021-07-21 16:16:21+00:00,33777,48,82,645
352,Stephanie_Link,"$NFLX market share fell below 50% for the first time ever in 2Q.  Still well ahead of the competition though - $NFLX 48.3%, Prime Video/$AMZN 12.7%, $DIS 7.3%, Hulu 5.6%, $AAPL 5.4% HBO Max 4.8%, Paramount 2.7%.",2021-07-21 10:41:14+00:00,97995,16,39,218
353,FromValue,"I know haters will hate me now 🤷🏻‍♂️ but $PTON feels so much like $AAPL in 2009 or so (showing my age here).
Not the first device ✅ 
premium brand at a premium price ✅ 
hardware +software ✅
a new way of life many don't understand yet✅
many haters and cynic bears ✅",2021-07-20 23:18:29+00:00,60392,41,13,218
354,EliteOptions2,$AAPL setting up for 151 before earnings next week 🚀,2021-07-20 17:36:42+00:00,81374,4,19,203
355,MarketRebels,$AAPL price target raised from $155 to $166 at UBS,2021-07-20 13:05:33+00:00,128566,5,31,206
356,Investingcom,"*APPLE IS SAID TO POSTPONE OFFICE RETURN DUE TO COVID

$AAPL",2021-07-20 04:06:03+00:00,593935,9,48,272
357,LynAldenContact,"Nike $NKE stock is pretty wild. Black line is stock price. Blue line is what the stock price would be at its average 20-year valuation.

It has a higher P/E ratio than $MSFT, $AAPL, $GOOGL, or $FB. Chart via FAST Graphs. https://t.co/A6JT5lmWkb",2021-07-19 23:53:47+00:00,269029,73,78,832
358,squawksquare,"I find it funny how media keeps talking about older $TSLA models with older software need to spend $1,500 to upgrade for FSD subscription. What do you expect? Certain software on old $AAPL iPhones is outdated and you need a new iPhone for $1,500 to run it. Same thing. GMA break.",2021-07-19 16:58:10+00:00,25381,22,14,258
359,jicchamatome,"- $ZM: Five9(コールセンターのソフトウェアを提供)の買収を発表、非常に理にかなってる、買収額もリーゾナブル、公募は必要ないと思う
- $AAPL: 長期のトレンドラインは維持している
- $AMZN: 株価は予想シナリオの範囲内で動いている
- $U $PINS: 特に悪材料なし",2021-07-19 13:08:27+00:00,105316,1,6,221
360,PeterTrader99,"$AAPL went up 43% after last split announcement then retraced 80% after split

$TSLA up 83% after split announcement then retraced 76% after split

$NVDA was up 43% after split accoutrement and retraced 45% of rise even before actual split. If falls fo mid $650, I go all in leaps",2021-07-19 02:53:17+00:00,12695,14,26,210
361,XclusiveTrading,"📈Weekly #XclusiveTriggers 7/19-7/23📉

$AAPL 150C over 147.46, 145P below 145.09
$MRNA 290C over 288, 275P below 279
$AMZN 3610C over 3594, 3550P below 3572
$NVDA 800C over 788, 650P below 712.50
$TSLA 680C over 668, 600P below 620
$SNOW 260C over 254, 235P below 246

#Trading",2021-07-18 23:52:07+00:00,27191,37,138,1790
362,LiebermanAustin,"The best compounders are companies no one has ever heard of that turn into the $AMZN and $AAPL of the world.

The next best compounders are the $AMZN and $AAPL of the world after everyone has already heard of them and they think it’s “too late”",2021-07-18 13:51:37+00:00,31787,15,15,253
363,TheMoonCarl,"In the last decade:

$TSLA     +11,661%
$AMZN   +1,770%
$AAPL     +1,040%
$BTC       +205,874%

#Bitcoin is just getting started.",2021-07-18 05:50:02+00:00,542681,104,218,1769
364,InvestingAustin,"I’m an ETF/ Index investor, but if I did buy single stocks, my top 5 would be

- $AMZN (Amazon)
- $AAPL (Apple)
- $MSFT (Microsoft)
- $JNJ (Johnson &amp; Johnson)
- $KO (Coca-Cola)

Share your top 5👇🏼",2021-07-17 21:19:48+00:00,1443,105,47,414
365,AltcoinDailyio,"Breaking: #Binance to stop selling $TSLA, $AAPL, $GOOGL, and all stock tokens 'effective immediately'!",2021-07-17 04:42:33+00:00,561314,94,52,706
366,ripster47,"#tradingtip #EMAClouds 
How to Short or see downtrend with EMA clouds
$AAPL $FB $NVDA

Also see $MRNA bounce on clouds on bullish pullbacks

Review carefully then you keep DMing about how EMA cloud strategy works https://t.co/TZQp7me7qN",2021-07-16 19:00:51+00:00,241684,25,40,238
367,willoptions,$AAPL $147.46 on Tuesday/ $AAPL $147.46 today https://t.co/ylzADMuRfh,2021-07-16 15:38:30+00:00,3268,16,22,371
368,XclusiveTrading,"📈#XclusiveTriggers 7/16📉

$MRNA puts under 270, calls over 280
$NOW calls over 560, puts under 556
$AMZN calls over 3647, puts under 3638
$NVDA calls over 767, puts under 762

$TSLA $SHOP $NVDA $SPX $GME $AMC  $GOOGL $NIO $SPY $AAPL $BA $NFLX $AMD $ROKU $FB $CRWD $ETSY $SQ",2021-07-16 13:27:20+00:00,27193,13,18,321
369,maybebullish,"Best performing U.S. equities since 2000 (current market cap &gt;$10B):

$MNST +38% annualized
$DECK +32%
$ODFL +30%
$TPL +29%
$TSCO +28%
$NVDA +28%
$MIDD +28%
$AAPL +28%
$IDXX +27%
$PENN +26%

What are the takeaways (if there are any)?",2021-07-16 02:21:05+00:00,17656,48,62,353
370,Trendspider_J,$AAPL #AAPL Starting to reverse. Don't shoot the messenger. https://t.co/SeqIeJsVNi,2021-07-16 00:27:41+00:00,109698,33,20,285
371,ThetaWarrior,"$AAPL I could be wrong but judging by these dark pool prints, it looks like some big players are dumping the stock today. https://t.co/APIE6AUWJy",2021-07-15 16:16:36+00:00,95090,36,13,215
372,Dividend_Dollar,"Dividend Growth stocks can make you RICH

$HD
$V
$AVGO
$TSCO
$SBUX
$NKE
$ABBV
$LMT
$AAPL
$MSFT",2021-07-15 15:30:01+00:00,29216,8,51,360
373,GerberKawasaki,My kids watch zero Netflix. They do watch DisneyPlus movies. They play games on their iPads. They watch YouTube. They play roblox. Zero Netflix. They game every day. $nflx $aapl $goog $rblx $dis,2021-07-15 13:47:04+00:00,174332,69,9,338
374,XclusiveTrading,"📈#XclusiveTriggers 7/15📉

$AMD calls over 91, puts under 89
$NFLX calls over 557, puts under 553
$ETSY calls over 185, puts under 180
$TSLA calls over 661, puts under 653 
$SHOP calls over 1467, puts under 1461

$AAPL $AMC $AMZN $DASH $GME $GOOGL $MSFT $NVDA $PYPL $ROKU $TWTR",2021-07-15 13:29:31+00:00,27194,12,23,233
375,jicchamatome,"- 僕のポジション: コアは $VTI 、 $ZM $OKTA などのSAASはホールド、IPO銘柄は短期トレード(戦線縮小してる)
- $AAPL $MSFT $AMZN $FB: この辺は継続して投資してOK、値が伸びるままにまかせる
- $MAR $DAL $NCLH $H $HA: 今時間を割いて研究してるのはこの辺のリア充でモタモタしてる銘柄",2021-07-15 13:21:15+00:00,105318,2,14,273
376,NorthmanTrader,And don't tell me $AAPL would suddenly lay off people because its stock were to drop 20%.,2021-07-15 11:37:34+00:00,304426,18,15,212
377,Moka_Analytics,"One of our members made a great trade using Moka, bought $AAPL calls off alert and swung overnight and made nearly 16K today!!! 🔥🔥🔥 https://t.co/u2bdvDXeJe",2021-07-15 02:17:47+00:00,326,2,16,260
378,AnthonyOhayon,"Time for some math to explain why markets are not what they seem... Since June 22nd, the Nasdaq $NDX $NQ has gone up ~5.5%, ~780 points from 14,120 to 14,900. 

Of that:
206 points came from $AAPL
118 from $MSFT
76 from $AMZN
59 from $GOOGL
34 from $FB...",2021-07-15 01:43:06+00:00,44508,40,93,566
379,EliteOptions2,"Elite Options Watchlist 💡

$NFLX 7/16 560C over 555 | Target 🎯: 563 | Stop loss:550
$AAPL 7/23 152.5C over 150 | Target 🎯: 153 | Stop loss: 148
$NVDA 7/16 780P under 788 | Target 🎯: 788 | Stop loss: 794",2021-07-15 01:00:10+00:00,81374,5,21,230
380,Trendspider_J,$AAPL #AAPL Could be nothing but would be dumb to fully ignore. https://t.co/zN3O3WKdGq,2021-07-14 23:13:19+00:00,109697,18,19,201
381,stevieprofs,"Trading options has literally changed my life. On a 10 day win streak and up 70% for $7,500 today in $AAPL calls.

I know I’ve said it before but @unusual_whales and @KobeissiLetter are MUST FOLLOWS.  

My goal is to become fully independent but their resources are priceless. 🙏 https://t.co/a8U7X8ByNl",2021-07-14 22:22:28+00:00,9334,18,7,241
382,SawyerMerritt,$AAPL is only $0.64/share away from becoming the first publicly traded company ever to hit a $2.5 Trillion market cap. $AAPL needs to hit $149.79/share to do so. It’s at $149.46 after-hours. https://t.co/IArG92d2gA,2021-07-14 21:42:01+00:00,73650,14,31,392
383,realMeetKevin,"Oil down (1), treasuries down (1), dollar up (1), recovery stocks down (2), tech down (2). IMO: The market is pricing in lower inflation to come (tagged with 1) but is SO UNCERTAIN (so much FUD), that the market is simultaneously pulling to sidelines or ""safe"" stocks like AAPL.",2021-07-14 19:54:44+00:00,160674,29,40,377
384,CapitalObserver,$AAPL accounts for the entire7 point gain in the S&amp;P 500 right now. Talk about a narrow market.,2021-07-14 19:29:00+00:00,10161,7,29,234
385,CryptoKaleo,"Take a look at the comparison between #Bitcoin &amp; AAPL from this summer to last summer one more time, and ask the question again -

Is Bitcoin really dead this time, or is it setting itself up for one of the most insane redemption arcs / bull runs in history?

I choose the latter. https://t.co/6B30nDLqu8",2021-07-14 19:26:07+00:00,394056,37,32,525
386,CryptoKaleo,"#Bitcoin / $BTC

I want to put it into context one more time just how frustrating last summer was.

Below is a chart comparing Bitcoin vs. AAPL from Jan. 2020 to now. If you've been paying attention to tech stonks lately, you know that AAPL is currently at a new ATH. https://t.co/df6MLcUGJG",2021-07-14 19:25:55+00:00,394056,36,93,658
387,garyblack00,"$TSLA and $AAPL have been relatively correlated with each other since 2020.  More recently, TSLA and AAPL have diverged, as bond proxy AAPL has moved to new ATHs (+12.7% YTD), and TSLA has struggled (-6.1% YTD). TSLA seems poised to break out if it can deliver a good 2Q on 7/26. https://t.co/Tr4LtzUCcS",2021-07-14 19:11:33+00:00,85233,33,18,344
388,garyblack00,"It’s odd that 10-year Treas ylds are way down (1.356%, -6.1 bp) and long duration growth names are also way down ( $TSLA, $SHOP, $TDOC, $CRSP), while the bond proxies ( $GOOG, $AMZN, $AAPL, $MSFT) are all up, pushing NDX up (+0.4%).

That’s what I call a shit market.",2021-07-14 18:52:05+00:00,85233,61,34,614
389,Trader_mcaruso,Can we save everyone some time and change the ticker from QQQ to AAPL?,2021-07-14 18:15:55+00:00,17948,10,6,203
390,Trendspider_J,"$AAPL #AAPL This is arguably what is holding the market up. If this reverses, watch out. https://t.co/9QH8SbQgzj",2021-07-14 17:45:11+00:00,109698,34,21,302
391,gannonbreslin,"I just want a 100 shares of $AAPL, $NVDA, and $MSFT is that too much to ask for??",2021-07-14 14:55:52+00:00,26684,27,9,258
392,MarketRebels,$AAPL hits $2.5T market cap,2021-07-14 13:40:25+00:00,128566,5,36,316
393,XclusiveTrading,"📈#XclusiveTriggers 7/14📉

$TSLA calls over 672.11, puts below 665.80
$BABA calls over 216.78, puts below 219
$AAPL calls over 148.78, puts below 145.09
$STM calls over 39.06, puts below 38
$JD calls over 76.60, puts below 76.26

$FB $AMZN $GOOGL $NVDA $SHOP $SNOW $NOW $DAL",2021-07-14 13:29:17+00:00,27195,9,20,249
394,DeItaone,"$AAPL: JP Morgan Adds Stock To Its Analyst Focus List

$AAPL: JP Morgan Raises Target Price To $175 From $170",2021-07-14 10:05:46+00:00,380369,10,45,345
395,NorthmanTrader,"4 stocks, $AAPL, $AMZN, $GOOGL &amp; $MSFT now have a combined market cap north of $8 trillion, equaling the size of the Fed's balance sheet &amp; 37% of US GDP.
Add $FB and you have $9 trillion in 5 stocks or 42% of US GDP.

20% of total US market cap is concentrated in 5 stocks.",2021-07-14 09:32:12+00:00,304432,157,515,2084
396,TradingThomas3,"Just spoke to Speaker Pelosi, she said “just BTFD”on $AMZN $TSLA $AAPL https://t.co/vkO2drYt2S",2021-07-14 02:09:34+00:00,22912,27,42,419
397,smartertrader,Aapl  oh my. Here we go. https://t.co/jzYycZVjle,2021-07-14 01:27:04+00:00,60949,15,23,217
398,zerohedge,"""In just six-and-a-half sessions, AMZN &amp; AAPL added more to their market caps (+$265bn, combined) than the market cap of 479 S&amp;P constituents"" - Goldman",2021-07-14 00:12:43+00:00,1097486,33,161,991
399,JohnStCapital,"$AAPL &amp; $GS are launching a BNPL service known as ""Apple Pay Later"" enabling Apple Pay users to pay across 4 payments every two weeks or across several months. 

$V &amp; $GPN annc a similar product in Canada today.

This + $PYPL &amp; eventually $SQ make BNPL a feature &amp; not a company https://t.co/8O9lYwU9a6",2021-07-13 18:06:28+00:00,35078,18,36,227
400,DeItaone,"*APPLE TO PARTNER WITH GOLDMAN SACHS ON APPLE PAY INSTALLMENTS
$AAPL
$GS",2021-07-13 18:02:55+00:00,380369,14,65,378
401,DeItaone,"*APPLE TO OFFER MONTHLY INSTALLMENTS FOR ALL APPLE PAY PURCHASES 
$AAPL",2021-07-13 18:02:30+00:00,380369,32,60,493
402,StockMKTNewz,"Apple $AAPL, Amazon $AMZN, Microsoft $MSFT and Google $GOOGL hit new All Time Highs so far today",2021-07-13 14:20:49+00:00,115908,12,24,215
403,us_stock_invest,$AAPL $GOOGL $MSFT 最高値を更新🥳 https://t.co/fZMxwJKBFa,2021-07-13 14:07:43+00:00,41883,0,22,222
404,ThetaWarrior,"TW #FocusList Update:

$AAPL No trigger
$AMZN No trigger
$AVGO Target HIT 🎯
$CHWY No trigger
$MSFT No trigger
$ROKU No trigger

Lot's of ""pop and drops"" today, market clearly waiting for the CPI data. https://t.co/tK4BkmiZXI https://t.co/wDjYPTawj7",2021-07-12 20:20:55+00:00,95090,46,12,202
405,XclusiveTrading,"📈#XclusiveTriggers 7/12📉

$SPCE calls 50.69+, puts 49.50-
$AAPL calls 145.09+, puts 144.45-
$SNOW calls 269.13+, puts 267.88-
$ROKU calls 431.01+, puts 429.44-
$MTCH calls 162.97+, puts 159.53-
$PYPL calls 300.83+, puts 299.31-
$TWLO calls 393.39+, puts 387.59-

$TPST $MTSL",2021-07-12 13:13:50+00:00,27196,5,39,562
406,eWhispers,"confirmed #earnings dates so far for the upcoming reporting period 

https://t.co/lObOE0dgsr 

$AAPL $JPM $GS $PEP $BAC $DAL $WFC $CLF $TSM $C $FB $FAST $BLK $F $NFLX $UNH $MS $ANGO $CAG $PNC $INTC $SQ $OGI $AOUT $BA $PINS $AA $ERIC $SNAP $PYPL $UPS $XOM $FRC $T $TWTR $PFE $VZ https://t.co/6Cn3KrSJkN",2021-07-12 10:49:23+00:00,282131,18,440,1047
407,ThetaWarrior,"$AAPL My best *guess* as to what's next:

🟡 Yellow: Push to 150-152 followed by a pullback to prior ATH and bounce, continue to 160+

🔵 Blue: Pullback to 135-136 and retest the prior supply level, bounce and then resume higher to 150+

In both scenarios I'll be buying the dip. https://t.co/EfWwTELQ5f",2021-07-12 03:00:40+00:00,95090,42,65,634
408,ThetaWarrior,"TW #FocusList 🛰️

$AAPL Calls &gt;145.65 | Puts &lt;142.65
$AMZN Calls &gt;3760 | Puts &lt;3675.74
$AVGO Calls &gt;480.88 | Puts &lt;470.12
$CHWY Calls &gt;85.61 | Puts &lt;83.94
$MSFT Calls &gt;278.05 | Puts &lt;274.87
$ROKU Calls &gt;434 | Puts &lt;424.34

Good luck traders!! https://t.co/IUQbNeabVu",2021-07-12 01:52:18+00:00,95090,62,125,940
409,EliteOptions2,"Elite Options Watchlist 💡

$TSLA 7/16 680C over 659 | Target 🎯: 686 | Stop loss: 650
$SNOW 7/16 280C over 266 | Target 🎯: 280 | Stop loss: 260
$AAPL 7/23 146C over 145 | Target 🎯: 151 | Stop loss: 142
$ARKK 7/30 130C over 127 | Target 🎯:  130 | Stop loss: 125",2021-07-12 00:00:14+00:00,81374,6,57,436
410,OptionsCaddy,"Tips  From the  Tape - Weekly Newsletter

S/o @tradingview for the charts
S/o @thetastyworks for the software

Retweet for Extra Alpha #exclusive  

#SPY #AAPL #AMZN #NIO #IWM #PYPL  #TRADINGTIPS #MarketsNew #Marketing #Markets #stonks #StockMarket #OptionsTrading #OptionsCaddy https://t.co/KvprGNZ4EC",2021-07-11 23:34:24+00:00,79,3,20,315
411,PandaOptions,"Pandas Weekly Watchlist 🐼

$AAPL 148c over 146, 139p under 140
$SNOW 280c over 276, 240p under 246
$PYPL 305c over 302, 285p under 287
$TTD 81c over 80, 70p under 72
$TSM 123c over 122, 110p under 112
$ZS 235c over 232, 220p under 221",2021-07-11 21:55:22+00:00,32721,13,56,363
412,NlCKStocks,"7/12-7/16 Pivots 

$AAPL pivot 141.4
🐂&gt;145, 146.25 | 🐻 &lt; 140, 138.5

$AMZN pivot 3693
🐂&gt;3740, 3760 | 🐻&lt; 3663, 3640

$TSLA pivot 657
🐂&gt; 667, 680 | 🐻 &lt; 647, 636

$NVDA pivot 806
🐂&gt; 815, 825 | 🐻 &lt; 790, 776

$SHOP pivot 1478
🐂&gt; 1500, 1535 | 🐻 &lt;1450, 1424",2021-07-11 13:13:00+00:00,20620,8,34,256
413,passinvestcom,"🎪直近5年リターン比較🎪
誰もが知る大企業に投資するだけで
たった5年で資産が数倍になりました⤴️
$AAPL 👉542.8%
$MSFT 👉476.8%
$AMZN 👉398.7%
$GOOGL 👉249.7%
$FB 👉198.9%

ちなみに
$QQQ 👉240.9% https://t.co/kXE7tp0YdV",2021-07-11 02:24:16+00:00,13388,10,15,250
414,ThetaWarrior,"$AAPL Weekly hitting new ATH! 

What an amazing trade this has been.

Best part is; at this point we are looking at a whole different type of breakout.. the kind that involves blue skies above. https://t.co/jjBcqyf6XM https://t.co/nE2cfPBIxA",2021-07-10 19:22:31+00:00,95090,30,24,298
415,Investingcom,$AAPL $MSFT $AMZN $GOOGL $FB https://t.co/KAX0kPsVMK,2021-07-10 19:00:00+00:00,593950,10,37,221
416,3X_ETF,"私、言いましたよね？
億り人になりたければ、 $AAPL が叩き売られてる時に $TECL 買っとけって😤 https://t.co/zegL7Px2tx",2021-07-09 23:42:04+00:00,16450,2,5,238
417,smartertrader,"Aapl hit hoy 
Fb hit hoy
Amzn hit hoy
Googl hit hoy 
Now hoy coming 
Roku hoy coming 

But I get it.   Stay short",2021-07-09 22:52:56+00:00,60947,14,18,224
418,ThetaWarrior,"The Results #LottoFriday

$AAPL 145C | .21 to .75 (+257%)
$AMZN Fail
$CHWY 83C | .32 to 2.17 (+578%)
$SPCE Fail
$TSLA 660C | .91 to 2.18 (+139%)

Chewy: $1K ➡️ $6.7K

Cheers and HAGW! 🍻 https://t.co/tXZxzR6jKG",2021-07-09 20:20:36+00:00,95090,37,5,272
419,EliteOptions2,"We absolutely crushed $AMZN &amp; $AAPL this week. When the market presents the right opportunities.. DON’T hesitate.. This is when money is made 💰

$AMZN  3600C $11.55  -&gt;  $160.00
$AMZN  3650C $15.60 -&gt;  $112.88
$AAPL   140C    $2.97   -&gt;  $7.78
$QQQ   357.5C  $1.35   -&gt;  $4.00 https://t.co/NIcWPpuOn5",2021-07-09 20:05:03+00:00,81374,18,14,258
420,HelloIrisApp,"(Per her previous filings, these are the returns since her original buys)

$CRWD - 92%
$DIS - 2%
$AAPL - 10%
$AB - 42%
$RBLX - 35%
$MSFT - 102%
$AMZN - 17%
$NVDA - 33%
$GOOG - a lot 

*please note, these %’s reflect the increase in stock price &amp; not the actual assets she bought",2021-07-09 19:09:45+00:00,3986,6,27,202
421,MarketRebels,$AAPL is reportedly in talks with the NFL for Sunday ticket games,2021-07-09 16:00:38+00:00,128569,10,54,467
422,DeItaone,"APPLE IN EARLY TALKS WITH NFL ON SUNDAY TICKET GAMES - THE INFORMATION
$AAPL",2021-07-09 15:59:24+00:00,380370,23,49,342
423,Investingcom,"⚠️BREAKING:

*APPLE SHARES HIT NEW RECORD HIGH 🍎🍏🚀🚀

$AAPL https://t.co/YCGJUuHvZD",2021-07-09 15:14:12+00:00,593950,13,69,418
424,SpacBobby,"Yo it’s me….. I’m in between meetings here.

Sweep 500 OTM calls on $AAPL and $AMZN …..throw in some $AMC as well. 

I feel a squeeze coming! 💎 🙌 https://t.co/qnFdjrQssE",2021-07-09 14:27:22+00:00,52692,10,28,270
425,ThetaWarrior,"DISCLAIMER: HIGH RISK #LottoFriday

Keep bets small. Take profits.

$AAPL 145C &gt;144.06 | 141P &lt;142.02
$AMZN 3760C &gt;3734.2 | 3650P &lt;3696.58
$CHWY 83C &gt;82.2 | 80P &lt;80.62
$PTON 126C &gt;124.97 | 122P &lt;123.2
$SPCE 55C &gt;54.4 | 48P &lt;49.39
$TSLA 660C &gt;654.43 | 630P &lt;638.32

Good luck! 🎲 https://t.co/zjHI8QW0EI",2021-07-09 02:58:41+00:00,95090,61,93,675
426,HeroDividend,"3 stocks that I will hold for 10+ years

$HD 👷🏻‍♂️
$WM ♻️
$AAPL 🍎

What are your 3?

👇🏻",2021-07-08 22:20:36+00:00,31093,86,24,257
427,zerohedge,"It was just a gamma squeeze:

Tuesday: AMZN call volume all time high
Wednesday: AAPL call volume all time high
Thursday: wipeout",2021-07-08 12:42:34+00:00,1097494,17,35,348
428,EliteOptions2,$AAPL setting up for a bigger breakout if it clears the 145 level 🚀,2021-07-07 15:53:41+00:00,81374,4,23,287
429,Barkworth17,"$AAPL If Apple goes any higher, it will go back in time. https://t.co/lqTYdpU4fU",2021-07-07 14:09:46+00:00,2689,27,31,366
430,JohnStCapital,"On the back of @SpeakerPelosi recent disclosure we can see the price paid for her $AMZN $AAPL &amp; $NVDA call options by filtering Bloomberg's OMON:

She made $1.4M in &lt;2 months or ~54.7% on these 3 positions; all were ITM call options

DC where insider trading's still legal.... https://t.co/Yz9IfTV7bl",2021-07-07 03:05:21+00:00,35077,31,150,704
431,ripster47,"$AAPL #chartidea 
Missed monthly breakout earlier but any retest of that 137-139 zone is a buy! even 140 Daily level

This ideally sees 150 soon, probably will add longer term 150c as long as this breakout holds https://t.co/X2ZB5TpGfm",2021-07-07 01:03:30+00:00,241686,18,21,231
432,InvestmentTalkk,"Over the past 5Y: 

- $FB +200%
- $NFLX +458%
- $AAPL +485%
- $MSFT + 430%
- $GOOGL +250%

- S&amp;P 500 +103%",2021-07-06 20:18:04+00:00,43614,43,55,672
433,sstrazza,Don't underestimate the index drag effect that comes with these 12-mo base breakouts in $AAPL &amp; $AMZN https://t.co/JSrFLHZN2D,2021-07-06 19:24:34+00:00,7106,12,53,272
434,matt_kohrs,I’m finna short AAPL after this experience,2021-07-06 16:08:10+00:00,150433,207,154,3297
435,mukund,"$MSFT shares are up 375.6% since Bill Gates stepped down from the CEO role in January 2000. Most of it after 2016.

$AAPL up 918.3% since Steve Jobs' August 2011 retirement. 

$GOOGL Larry Page stepped aside in 2019, has experienced a 92% increase

$AMZN next?",2021-07-06 13:19:50+00:00,56375,22,30,289
436,TheStalwart,"MUST READ

From @Reganonymous.

Synthetic, fake versions of popular stocks like $TSLA, $AAPL and others trade on unregulated DeFi exchanges, outside the reach of entities like the SEC or the NASDAQ.

https://t.co/kEcoThzkGs https://t.co/XOGPWa8qLG",2021-07-06 12:14:35+00:00,288449,75,61,326
437,skaushi,"$AAPL PT Raised to $170 at JPMorgan, 'Time to Start Buying Again'",2021-07-06 12:09:00+00:00,42407,8,21,247
438,EliteOptions2,"Elite Options Watchlist 💡

$AAPL 7/9 141C over 140 | Target 🎯: 143 | Stop loss: 139
$GOOGL 7/9 2540C over 2500 | Target 🎯: 2540 | Stop loss: 2485
$MSFT 7/16 280C over 277 | Target 🎯: 280 | Stop loss: 277
$CRWD 7/23 270C over 260 | Target 🎯: 270 | Stop loss: 255",2021-07-06 00:00:03+00:00,81374,5,39,294
439,NlCKStocks,"$AAPL pivot 138.5
🐂&gt; 140, 141.4 |🐻&lt;137.75, 136

$AMZN pivot 3486
🐂&gt; 3500, 3525 | 🐻&lt; 3463, 3435

$TSLA pivot 687
🐂&gt; 693, 700 | 🐻&lt; 676, 667

$DIS pivot 177.5 
🐂&gt; 179, 181.5 | 🐻&lt; 175, 173.5

$NVDA pivot 806
🐂&gt; 817, 823 | 🐻 &lt; 793, 786

$BA pivot 238
🐂&gt; 241, 245 | 🐻 &lt; 232",2021-07-05 20:54:48+00:00,20620,19,41,235
440,DCDOWORK,$NIO $TSLA $AAPL $AMZN $SPCE Tomorrow let’s see some Green 🤑,2021-07-05 20:13:47+00:00,15802,7,15,211
441,IIICapital,"$AAPL currently has a market cap of 62.3M $BTC.

We are so early to #Bitcoin.",2021-07-05 16:13:46+00:00,17510,6,19,300
442,LiebermanAustin,"I’m starting to really like Zuck. 

$FB feels very $AAPL circa 2014-2015. Misunderstood and unloved but working on some great catalysts under the hood.",2021-07-05 16:10:29+00:00,31787,77,23,638
